frame,pts_seconds,gray_mean,mean_absolute_difference
198,8.250,18.5952,19.6657
199,8.292,18.5999,0.0955
200,8.333,18.5293,0.1270
201,8.375,9.0233,9.8952
202,8.417,9.0862,0.1028
203,8.458,9.3666,0.4073
204,8.500,9.4088,0.1119
205,8.542,9.4453,0.1041
206,8.583,9.5879,0.5947
207,8.625,9.6105,0.0400
208,8.667,9.9451,0.7206
209,8.708,9.9790,0.0631
210,8.750,9.9705,0.0276
211,8.792,11.7857,2.3811
212,8.833,11.9188,0.1875
213,8.875,13.9689,3.5197
214,8.917,13.9928,0.0722
215,8.958,13.9490,0.0871
216,9.000,21.8054,16.2236
217,9.042,21.8200,0.0481
218,9.083,21.8281,0.0148
219,9.125,88.1918,71.8846
220,9.167,88.3553,1.6725
221,9.208,18.7290,72.1676
222,9.250,18.7795,0.1127
223,9.292,18.7791,0.1547
224,9.333,88.3068,75.4373
225,9.375,88.4872,1.5033
226,9.417,66.7868,53.6492
227,9.458,66.8647,0.1585
228,9.500,66.8824,0.0206
229,9.542,44.0819,33.3471
230,9.583,44.1778,0.6135
231,9.625,18.0841,35.3144
232,9.667,18.1088,0.0945
233,9.708,18.0747,0.1273
234,9.750,33.2652,24.4821
235,9.792,33.3308,0.3077
236,9.833,25.7118,11.2405
237,9.875,25.7235,0.1106
238,9.917,25.6225,0.3470
239,9.958,22.3327,5.5287
240,10.000,22.3235,0.0655
241,10.042,26.0780,23.6787
242,10.083,26.0895,1.6381
243,10.125,26.2794,0.2427
244,10.167,38.5205,12.2815
245,10.208,38.4562,0.2087
246,10.250,28.0835,10.4761
247,10.292,28.0991,0.1212
248,10.333,28.0130,0.1822
249,10.375,29.0814,2.8135
250,10.417,29.0740,0.2032
251,10.458,29.4933,1.4727
252,10.500,29.5146,0.0698
253,10.542,29.4525,0.1369
254,10.583,28.8945,1.7070
255,10.625,28.8969,0.2361
256,10.667,29.4136,1.4813
257,10.708,29.4262,0.0831
258,10.750,29.3974,0.1107
259,10.792,44.7355,44.6687
260,10.833,44.7614,0.6973
261,10.875,44.4693,3.6138
262,10.917,44.5126,0.0947
263,10.958,44.5262,0.0398
264,11.000,45.2670,3.1528
265,11.042,45.2789,0.4051
266,11.083,43.1346,4.1519
267,11.125,43.0995,0.1488
268,11.167,43.1497,0.1091
269,11.208,45.1849,3.7829
270,11.250,45.2101,0.0707
271,11.292,45.2311,0.0284
272,11.333,44.7078,3.0652
273,11.375,44.6828,0.1213
274,11.417,43.5671,4.2956
275,11.458,43.5420,0.1063
276,11.500,43.5207,0.1630
277,11.542,41.3783,4.2337
278,11.583,41.3664,0.0517
279,11.625,42.8708,2.8411
280,11.667,42.8998,0.1332
281,11.708,42.8546,0.1035
282,11.750,42.1592,3.9488
283,11.792,42.1320,0.0758
284,11.833,41.1671,2.4304
285,11.875,41.1384,0.0876
286,11.917,41.1731,0.0469
287,11.958,39.1994,3.9898
288,12.000,39.2534,0.2631
289,12.042,39.9627,3.3102
290,12.083,39.9835,0.3028
291,12.125,40.0746,0.2846
292,12.167,40.7228,2.4962
293,12.208,40.7041,0.1347
294,12.250,39.3279,3.4819
295,12.292,39.3900,0.1840
296,12.333,39.3519,0.1572
297,12.375,119.5579,87.1363
298,12.417,119.5693,1.2002
299,12.458,85.8556,45.5847
300,12.500,85.9688,0.2636
301,12.542,85.9068,0.2519
302,12.583,87.8344,47.1445
303,12.625,87.9901,0.8008
304,12.667,78.8740,27.1065
305,12.708,79.0765,0.5927
306,12.750,78.9575,0.4946
307,12.792,78.9243,14.4957
308,12.833,78.8355,0.3559
309,12.875,87.0620,15.1444
310,12.917,87.0883,0.3515
311,12.958,86.9439,0.3153
312,13.000,64.6752,24.0597
313,13.042,64.7100,0.3083
314,13.083,66.0065,8.2461
315,13.125,66.0905,0.1808
316,13.167,66.1082,0.0379
317,13.208,60.0287,11.0819
318,13.250,60.0610,0.7538
319,13.292,53.9946,12.4727
320,13.333,53.9697,0.7779
321,13.375,54.0225,0.4834
322,13.417,45.4029,15.4077
323,13.458,45.5395,0.6687
324,13.500,45.5711,0.4607
325,13.542,43.3288,14.0479
326,13.583,43.2162,0.4249
327,13.625,50.5008,12.9803
328,13.667,50.4005,0.6678
329,13.708,50.5261,0.3241
330,13.750,49.6172,11.1378
331,13.792,49.5078,0.6539
332,13.833,49.4273,5.7761
333,13.875,49.5135,0.2968
334,13.917,49.4564,0.3509
335,13.958,45.9199,7.3904
336,14.000,45.9491,0.4039
337,14.042,47.9536,36.8235
338,14.083,48.0557,0.3457
339,14.125,47.9957,0.3408
340,14.167,47.7589,7.0989
341,14.208,47.6182,0.5615
342,14.250,47.2485,5.0201
343,14.292,47.3213,0.1836
344,14.333,47.3208,0.0153
345,14.375,48.1443,6.0279
346,14.417,48.1275,0.5002
347,14.458,46.6484,5.7924
348,14.500,46.7588,0.5457
349,14.542,46.7774,0.2765
350,14.583,50.0299,6.9815
351,14.625,50.0048,0.4419
352,14.667,51.4871,5.7898
353,14.708,51.5343,0.3424
354,14.750,51.5603,0.1772
355,14.792,52.7470,7.8062
356,14.833,52.7703,0.0492
357,14.875,53.5082,6.5947
358,14.917,53.5264,0.0545
359,14.958,53.5144,0.0428
360,15.000,52.3431,8.0338
361,15.042,52.3499,0.0414
362,15.083,47.4923,8.6451
363,15.125,47.7948,2.6373
364,15.167,47.7781,0.0779
365,15.208,81.8296,48.1123
366,15.250,81.7935,0.1587
367,15.292,136.6814,58.8474
368,15.333,136.6022,0.2665
369,15.375,136.4222,0.3204
370,15.417,14.3047,122.1175
371,15.458,14.3043,0.0480
372,15.500,16.5018,8.6196
373,15.542,16.5111,0.2228
374,15.583,16.5677,0.0954
375,15.625,60.2299,45.9718
376,15.667,60.5878,0.9439
377,15.708,60.4329,0.9027
378,15.750,18.9596,42.5163
379,15.792,18.9622,0.0579
380,15.833,17.2861,13.0090
381,15.875,17.2935,0.1304
382,15.917,17.3082,0.1025
383,15.958,16.2500,9.7764
384,16.000,16.2877,0.1499
385,16.042,24.4842,15.9068
386,16.083,24.4808,0.2666
387,16.125,24.4988,0.1643
388,16.167,34.1591,16.7967
389,16.208,34.1153,0.4051
390,16.250,30.2753,15.9281
391,16.292,30.2048,0.1296
392,16.333,30.2551,0.0552
393,16.375,11.6829,23.6305
394,16.417,11.6774,0.0811
395,16.458,11.6295,5.0553
396,16.500,11.6336,0.0825
397,16.542,11.6232,0.0848
398,16.583,11.4596,5.2990
399,16.625,11.4542,0.0387
400,16.667,11.6328,5.2246
401,16.708,11.6583,0.0680
402,16.750,11.6500,0.0331
403,16.792,11.4638,4.7068
404,16.833,11.4565,0.0415
405,16.875,11.3978,4.0973
406,16.917,11.4063,0.0227
407,16.958,11.3695,0.0619
408,17.000,12.4868,6.1489
409,17.042,12.4884,0.0684
410,17.083,12.7887,5.0542
411,17.125,12.7827,0.0682
412,17.167,12.8008,0.0750
413,17.208,13.0357,6.8279
414,17.250,13.0348,0.0534
415,17.292,14.0621,6.0947
416,17.333,14.1308,0.0992
417,17.375,14.1253,0.0506
418,17.417,12.4798,7.8098
419,17.458,12.4703,0.0603
420,17.500,56.4678,48.2537
421,17.542,56.4902,0.0517
422,17.583,56.5150,0.0286
423,17.625,54.3045,5.9242
424,17.667,54.3658,1.0095
425,17.708,55.7766,4.8740
426,17.750,55.8630,1.0457
427,17.792,55.9970,0.6339
428,17.833,56.8423,8.0620
429,17.875,56.9224,0.6532
430,17.917,56.9825,0.4938
431,17.958,32.7893,24.8118
432,18.000,32.7188,0.4969
433,18.042,20.0173,13.0169
434,18.083,19.9968,0.1121
435,18.125,20.0150,0.0684
436,18.167,17.1140,4.4182
437,18.208,17.1299,0.1401
438,18.250,16.9303,1.2600
439,18.292,16.9434,0.0524
440,18.333,16.9472,0.1096
441,18.375,17.3460,1.9482
442,18.417,17.3313,0.1900
443,18.458,17.9961,2.0360
444,18.500,18.0000,0.1174
445,18.542,17.9362,0.1297
446,18.583,17.1091,2.2961
447,18.625,17.0642,0.1447
448,18.667,17.0958,2.4990
449,18.708,17.1061,0.0895
450,18.750,17.1328,0.0363
451,18.792,16.5167,2.3051
452,18.833,16.4840,0.1982
453,18.875,16.1835,1.7350
454,18.917,16.2121,0.0614
455,18.958,16.2014,0.1138
456,19.000,18.2539,3.5426
457,19.042,18.2583,0.2400
458,19.083,15.6695,3.0018
459,19.125,15.6775,0.0330
460,19.167,15.6898,0.0152
461,19.208,15.4153,2.2380
462,19.250,15.4403,0.1446
463,19.292,7.8511,8.7633
464,19.333,7.8475,0.0220
465,19.375,7.8328,0.0541
466,19.417,10.7180,3.2990
467,19.458,10.7226,0.0410
468,19.500,16.2674,7.4728
469,19.542,16.2497,0.0970
470,19.583,16.2351,0.0554
471,19.625,32.2290,20.3983
472,19.667,32.2876,0.1806
473,19.708,35.6462,14.4781
474,19.750,35.6994,0.2399
475,19.792,35.7091,0.1797
476,19.833,33.9978,14.8935
477,19.875,33.9400,0.3709
478,19.917,36.9417,13.9371
479,19.958,37.0143,0.3032
480,20.000,36.9694,0.3175
481,20.042,38.0859,20.5614
482,20.083,38.0861,0.4616
483,20.125,38.2122,0.3572
484,20.167,40.7722,23.1719
485,20.208,40.7885,0.1143
486,20.250,9.6335,32.3737
487,20.292,9.6343,0.0185
488,20.333,9.6368,0.0088
489,20.375,15.8022,9.6217
490,20.417,15.7930,0.0564
491,20.458,67.6476,56.2801
492,20.500,67.7180,1.2806
493,20.542,67.8951,0.8003
494,20.583,11.4611,56.8928
495,20.625,11.4635,0.0788
496,20.667,66.6676,57.2322
497,20.708,66.8218,0.7471
498,20.750,66.8943,0.4927
499,20.792,46.1006,50.1724
500,20.833,45.9548,0.8382
501,20.875,27.5645,24.6916
502,20.917,27.4673,0.4061
503,20.958,27.5987,0.2371
504,21.000,17.9476,11.6735
505,21.042,17.9299,0.1836
506,21.083,24.1712,22.5048
507,21.125,24.2067,0.1337
508,21.167,24.1921,0.1660
509,21.208,24.6760,3.6923
510,21.250,24.6637,0.2781
511,21.292,23.0640,2.2079
512,21.333,23.0769,0.1102
513,21.375,23.0262,0.1074
514,21.417,22.5898,2.7521
515,21.458,22.5453,0.1231
516,21.500,23.8026,2.4204
517,21.542,23.8428,0.0734
518,21.583,23.8502,0.0159
519,21.625,26.9805,4.2706
520,21.667,27.0145,0.2369
521,21.708,28.1503,3.2261
522,21.750,28.1599,0.2017
523,21.792,28.1823,0.1884
524,21.833,28.6676,2.8101
525,21.875,28.6597,0.1557
526,21.917,30.7667,3.3347
527,21.958,30.8046,0.1716
528,22.000,30.7856,0.1609
529,22.042,34.8808,6.0318
530,22.083,34.8288,0.1654
531,22.125,37.5359,3.8743
532,22.167,37.5718,0.1469
533,22.208,37.5735,0.1240
534,22.250,39.4222,5.5236
535,22.292,39.4438,0.1535
536,22.333,39.4373,0.1677
537,22.375,22.6865,22.8724
538,22.417,22.6570,0.2137
539,22.458,26.6505,12.5869
540,22.500,26.6784,0.1804
541,22.542,26.6141,0.1722
542,22.583,40.5861,17.7996
543,22.625,40.6609,0.3597
544,22.667,43.6185,6.3088
545,22.708,43.6388,0.0432
546,22.750,43.6613,0.0264
547,22.792,48.4131,10.1561
548,22.833,48.4684,0.2751
549,22.875,51.7029,10.1345
550,22.917,51.7302,0.1764
551,22.958,51.6683,0.2270
552,23.000,57.6515,11.7990
553,23.042,57.5906,0.3295
554,23.083,60.2452,8.5261
555,23.125,60.2318,0.1877
556,23.167,60.1743,0.1560
557,23.208,64.0392,9.9675
558,23.250,64.0750,0.1067
559,23.292,58.8578,9.5381
560,23.333,58.8702,0.0403
561,23.375,58.9613,0.0962
562,23.417,60.6651,10.7302
563,23.458,60.7044,0.2571
564,23.500,60.9562,7.9153
565,23.542,60.9891,0.2151
566,23.583,60.9675,0.1642
567,23.625,60.4002,9.6522
568,23.667,60.3406,0.2834
569,23.708,61.0688,8.5850
570,23.750,61.1272,0.1429
571,23.792,61.1064,0.1380
572,23.833,59.6941,10.4156
573,23.875,59.6297,0.4720
574,23.917,58.3011,8.3949
575,23.958,58.2999,0.3110
576,24.000,58.3773,0.1682
577,24.042,61.9105,9.5651
578,24.083,61.8719,0.1425
579,24.125,55.8837,9.5870
580,24.167,55.8461,0.1751
581,24.208,55.8595,0.1488
582,24.250,59.3047,10.2671
583,24.292,59.3683,0.1517
584,24.333,54.4485,9.7712
585,24.375,54.4892,0.1329
586,24.417,54.5208,0.0575
587,24.458,13.0720,41.9617
588,24.500,13.1330,0.1105
589,24.542,13.1010,0.1023
590,24.583,7.7058,5.6445
591,24.625,7.6959,0.0541
592,24.667,7.7372,0.2447
593,24.708,7.7525,0.0769
594,24.750,7.7660,0.0462
595,24.792,7.7934,0.4159
596,24.833,7.7878,0.0501
597,24.875,7.9580,0.4215
598,24.917,7.9668,0.0178
599,24.958,8.0315,0.1101
600,25.000,9.0847,1.4210
601,25.042,9.1182,0.1051
602,25.083,10.6037,2.5426
603,25.125,10.5769,0.0891
604,25.167,10.6135,0.0475
605,25.208,18.5361,13.6918
606,25.250,18.5309,0.0299
607,25.292,79.8824,67.1867
608,25.333,79.9279,0.3257
609,25.375,79.9272,0.3593
610,25.417,13.9599,68.1111
611,25.458,13.9559,0.0434
612,25.500,95.4413,83.6276
613,25.542,95.7870,0.4099
614,25.583,95.7347,0.1701
615,25.625,53.3594,55.9394
616,25.667,53.4503,1.1266
617,25.708,12.5527,46.3825
618,25.750,12.5709,0.1118
619,25.792,12.5976,0.0946
620,25.833,13.0920,2.3932
621,25.875,13.1320,0.1581
622,25.917,20.8483,16.2661
